acnumber,custid,first_name,last_name,branch_city,account_status,account_typeaccount_activation_date,account_balance,phone,kyc_status,tri_monthly_avg_balance
A00680,C00680,Maya,Bryson,Venice,SUSPENDED,DMAT,18-02-2023,19382,7427693544,N,7439
A00524,C00524,Tyson,Kelly,Salt Lake City,INACTIVE,SAVINGS,30-01-2023,29514,7725623868,N,1014
A01044,C01044,Eryn,Morris,Springfield,SUSPENDED,DMAT,23-01-2023,18325,6558423656,Y,5990
A00101,C00101,Boris,Conner,Ashburton,ACTIVE,CURRENT,19-01-2023,32353,8569456237,Y,1496
A00499,C00499,Destiny,Chavez,Penrith,INACTIVE,SAVINGS,10-12-2022,41720,6581337884,N,5551
A00132,C00132,Marshall,Gates,Trujillo,INACTIVE,SAVINGS,05-12-2022,49357,9512952488,N,6903
A00230,C00230,Evangeline,Pickett,Daman,INACTIVE,SAVINGS,29-11-2022,36890,7738725231,Y,6593
A00168,C00168,Jordan,Bird,Anhui,INACTIVE,SAVINGS,20-11-2022,35981,7766333252,N,5548
A00316,C00316,Clio,Mathews,Veenendaal,ACTIVE,CURRENT,14-11-2022,18921,6757822542,Y,3475
A00723,C00723,Rocco,Jarvis,Reno,SUSPENDED,DMAT,12-11-2022,18326,7276282697,N,2804
A00599,C00599,Erica,Roberts,Lyon,SUSPENDED,DMAT,11-11-2022,32167,9837681142,N,3993
A00169,C00169,Sarah,Kramer,Afşin,SUSPENDED,DMAT,09-11-2022,21036,6997551575,Y,9956
A01012,C01012,Ramon,Patel,Worcester,INACTIVE,SAVINGS,07-10-2022,38984,8357664414,Y,2828
A01116,C01116,Nick,Woods,Fort Lauderdale,SUSPENDED,DMAT,06-10-2022,18867,8276951897,Y,3499
A00872,C00872,Jackeline,Bailey,Reno,ACTIVE,CURRENT,26-09-2022,46138,6165412584,Y,8381
A00211,C00211,Arthur,Baldwin,Hồ Chí Minh City,INACTIVE,SAVINGS,20-09-2022,43108,9925769277,N,1357
A00422,C00422,Zahir,Payne,Kavaratti,SUSPENDED,DMAT,18-09-2022,15896,9489223258,Y,1252
A00515,C00515,Violet,Rodwell,Columbus,INACTIVE,SAVINGS,12-09-2022,47686,8684667414,N,2614
A01183,C01183,Sadie,Bell,Bucharest,INACTIVE,SAVINGS,01-09-2022,31402,7857538586,N,1328
A00456,C00456,May,Trevino,Lorient,INACTIVE,SAVINGS,24-08-2022,31534,7362468415,N,7916
A01479,C01479,Julian,Jarrett,Fremont,INACTIVE,SAVINGS,14-08-2022,35601,7287275484,Y,9589
A01372,C01372,Elle,Weasley,Denver,INACTIVE,SAVINGS,26-07-2022,47952,8282275292,Y,3902
A01258,C01258,Daron,Irving,El Paso,SUSPENDED,DMAT,09-07-2022,44468,6127249999,N,9706
A01074,C01074,Harvey,Reynolds,Berna,ACTIVE,CURRENT,23-06-2022,20500,6562883781,Y,6809
A00983,C00983,Noemi,Rosenbloom,Long Beach,SUSPENDED,DMAT,07-06-2022,32119,7819889376,N,3200
A00648,C00648,Bart,Owen,Fayetteville,INACTIVE,SAVINGS,05-06-2022,17262,9855344931,N,6662
A00326,C00326,Cheryl,Rosario,Rangiora,ACTIVE,CURRENT,30-05-2022,44808,6825186583,Y,4400
A00519,C00519,Carmella,Edwards,Chicago,ACTIVE,CURRENT,09-05-2022,42925,9684671553,Y,2785
