pan_id,phone,cibil_score,total_accounts,active_accounts,total_loan_repayments,timely_loan_repayments,active_credit_cards,total_credit_card_repayments,timely_credit_card_repayments
FDKXA6954C,6844846872,582,8,4,166,82,1,42,35
TJDVP1819Y,9529494486,459,11,7,226,111,5,24,8
LELMR2907S,7144388743,561,14,10,20,18,4,8,5
JFCAC3881J,9585334687,842,2,0,188,22,2,52,15
NBLND7962F,8774783218,635,14,10,200,113,4,45,36
VGLMK1577V,6673198164,494,6,2,110,53,3,19,11
ITYGE6079R,9693439452,603,2,0,118,44,1,36,13
ZXMCK8055A,9767427528,718,10,7,27,25,3,5,5
VJLEX3298Z,7433862561,737,3,0,80,65,5,30,25
EEGIU5933H,6184258829,578,3,0,134,27,5,24,20
RRCIR8350B,8224812854,817,2,0,19,18,3,28,23
TFETY9958P,9467262552,526,3,0,121,101,4,56,51
XZWVC9622P,9226334845,624,4,0,228,185,3,12,5
VJYTN3366G,9936836324,740,5,2,239,209,1,35,29
WLSXX5729F,6825713685,653,6,2,238,233,3,53,9
UEVSO1038N,6758987777,461,3,0,199,33,5,11,6
UGRWF4528N,6857933777,410,13,10,235,148,3,22,11
IYBGO2908P,6359528761,470,11,7,118,61,3,38,33
SHHKU5333K,8526675533,508,5,2,225,40,2,6,5
TEMUE3104W,9331734155,774,4,0,197,66,2,23,22
AXVYL9996H,9656649765,473,6,2,186,165,4,60,12
YNFVB3330B,9378545544,600,11,7,87,66,2,32,21
FFQHR4984X,9546676653,812,7,3,147,131,2,17,9
YEJNM0674V,9423589453,666,10,7,112,102,2,18,8
BOFYJ8096F,7738725231,822,8,4,23,22,5,57,42
ILICO7407Z,7934444847,502,8,4,64,37,3,57,55
WSTGH5792E,7619423852,475,13,10,104,62,4,38,6
WCSUE4551T,7325273457,828,4,0,205,154,2,58,27
HNOFA5006D,8395233471,519,10,6,204,43,5,9,5
IGGIM2354R,8364691636,769,11,8,222,91,1,5,5
ZVGRP6791Q,9455873878,510,9,5,83,21,2,41,35
LVYWF7883E,7167233555,790,13,10,200,115,4,25,16
ZNUUJ9962I,8642533716,526,7,4,182,76,3,14,5
PLTXA9729M,7231575623,744,4,1,133,110,5,52,4
EIMSB5808Z,9346687335,486,10,7,192,69,2,24,15
BKLLP7894C,9356758527,466,8,5,70,63,2,50,26
INXLJ9275Q,8942558632,439,6,2,215,156,3,34,32
PXZUT0428K,9742371979,824,3,0,68,30,1,49,4
PQVBJ8436V,6822437954,734,13,9,58,27,1,4,4
DIEFL6649X,8951533924,533,4,0,23,21,2,6,4
STGIB9418V,6799411752,626,14,10,114,29,2,28,24
FYWOY9124K,8573635985,722,2,0,94,86,2,57,14
EXQJP4096A,6997551575,609,10,6,212,37,1,10,8
CFPIE1540P,7538748825,619,11,7,238,215,1,8,6
MHFAK4278O,9977743279,735,9,5,209,43,1,23,23
CVUXL7917N,6441655453,711,12,8,146,139,5,5,4
YOEGC5079D,9342932848,726,14,11,173,31,1,53,14
HZEXK4600R,7735767125,457,2,0,169,81,1,9,8
EAQWF4617C,8338677636,597,13,9,152,148,5,10,7
AHTPT0856Z,9386897618,550,4,0,189,78,4,10,5
QFJKS4053U,6977771437,563,11,8,162,105,3,56,4
BFZQV8999R,9455365474,701,13,9,140,126,3,18,13
JJSKP4542P,6622823393,738,10,6,38,28,5,21,4
ODRPQ4008Q,6322738217,708,6,3,69,59,2,46,11
IEXBC8034P,6858143575,742,3,0,125,89,1,12,10
ENJUO6219J,6244271724,772,3,0,220,120,2,57,11
LQESP1798D,6436233785,611,2,0,46,19,2,13,4
HJVXQ2990P,8336552843,834,9,5,25,24,2,55,15
DFDGZ3435G,6737389623,435,5,1,44,35,5,17,9
UGBRC7097Z,8441545892,737,11,7,73,39,3,56,29
XEFHM9168Y,8346755468,803,8,5,71,32,5,44,38
RBJQW3399I,9749637851,761,11,8,159,33,3,15,5
JJULQ6408J,6755833455,611,13,10,62,53,2,18,15
KBADN9097B,9477227246,469,13,9,27,23,5,26,23
TXBWC3603Z,8872646873,484,2,0,240,109,2,31,27
CRSPQ9624B,7176722259,653,4,0,221,162,3,12,8
LEESJ3235N,8481854824,799,5,2,166,81,1,39,22
HNNUU9071O,9534613652,598,3,0,83,30,4,18,4
AFVVB4818X,7675644253,797,7,3,229,84,1,21,7
THBUV1531A,6958253675,718,10,7,160,87,4,26,7
KJMNQ3245A,8692549254,582,7,3,210,108,2,4,4
ZDCMG4540D,7796622884,585,9,6,198,45,4,53,46
XCHCD9333Q,9266656552,561,13,9,56,54,4,52,16
CCQKO1880D,8882495865,739,8,4,38,24,3,59,14
WTVSG1752O,6373229267,577,11,7,90,37,5,16,5
GRFBZ2787C,9948852834,828,12,9,114,83,5,27,19
VCUHK8383F,7391849333,643,2,0,166,103,2,10,5
HNGNZ6331A,6242686783,848,2,0,182,88,5,35,32
QLNQH3001A,6691868485,575,9,6,240,135,2,51,41
DJMBT1854H,8789383552,659,2,0,67,46,2,34,20
MCKPX8114R,6676599263,765,4,0,132,92,5,60,32
VHYPQ1880V,8615594558,654,4,0,209,57,1,47,5
OMWQF4926Q,6439965348,445,14,10,203,103,2,23,22
DSNQX1790S,6527962294,542,7,3,148,81,2,53,53
ZUYSY4195Z,7778694687,683,4,0,123,111,1,40,39
VUZZM3412D,6277344578,590,7,3,200,108,2,8,6
MGUEW9349S,7788785534,624,11,7,142,73,2,45,34
ZKCGZ8750L,9516326243,638,11,8,194,171,4,27,12
