LOAN_ID,BROWERRER_ID,FIRST_NAME,LAST_NAME,DOB,PHONE_NO,EMAIL,PAN_ID,LOAN_TYPE,LOAN_TERM_MONTH,LOAN_AMOUNT,START_DATE,END_DATE,TOTAL_REPAYMENTS,COMPLETED_REPAYMENTS,TIMELY_PAYMENT,LOAN_STATUS,Interest Rate
L00001,B00001,Jerome,Barnett,26-01-1989,3947120758,libero.dui.nec@outlook.couk,CYU63GZH6GO,Students Loans,123,8363805,13-09-2015,01-07-2026,90,35,29,Performing,5
L00002,B00002,Cherokee,Hartman,13-02-1989,3121318937,lacus.nulla.tincidunt@google.edu,RUE23OMY6EC,Personal Loans,136,8719522,10-01-2015,02-12-2027,89,43,41,Overdue,8
L00003,B00003,Sandra,Love,04-09-1988,9387882934,justo.nec@google.com,WYM31RXM3DU,Auto loans,93,988559,28-10-2020,08-08-2028,28,48,28,Default,8
L00004,B00004,Kellie,Morse,17-05-1981,9371279634,nunc.quisque@google.com,NSH18MFA1UO,Home Loans,109,2283247,24-04-2016,25-05-2025,82,22,12,Performing,8
L00005,B00005,Hilda,Mason,28-10-1985,6318076071,libero.proin@yahoo.net,FEL38KOR3JR,Students Loans,96,9901881,06-05-2018,06-10-2026,57,43,34,Late,6
L00006,B00006,Caleb,Mcintosh,30-12-1981,9967576217,aliquam.nisl@google.edu,SHH95AIR4YE,Business loans,163,503057,02-06-2012,10-02-2025,133,9,7,Default,7
L00007,B00007,Noelle,James,05-11-1983,2587632690,arcu.vel@google.couk,IDR69ZOU4MY,Personal Loans,183,855241,04-05-2012,20-07-2027,131,43,30,Overdue,10
L00008,B00008,Fletcher,Reed,17-01-1985,1477956935,taciti.sociosqu@yahoo.net,QDY95QKL0KK,Students Loans,58,7100184,23-02-2021,31-12-2025,24,19,19,Overdue,9
L00009,B00009,Imelda,Sutton,02-11-1982,6951578879,dolor.tempus.non@yahoo.net,RYB61LHE4IM,Auto loans,153,7242826,24-01-2014,13-11-2026,109,56,48,Late,8
L00010,B00010,Tanner,Kent,08-12-1980,6176585577,neque.in@outlook.com,ROE96YMZ6NB,Students Loans,199,8381988,18-08-2013,20-03-2030,114,56,49,Performing,7
